week,industry,report_count,methods,n_methods,severity_score
2007-09-10,Prep Salad Prod,4,zscore+isolation_forest,2,2.598
2015-04-27,"Meat, Meat Products and Poultry",3,zscore+isolation_forest,2,2.559
2005-05-16,Soup,3,zscore+isolation_forest,2,2.559
2015-10-05,Fruit/Fruit Prod,4,zscore+isolation_forest,2,2.554
2012-06-25,Coffee/Tea,5,zscore+isolation_forest,2,2.505
2017-03-27,Cosmetics,102,cusum,1,70.808
2017-04-03,Cosmetics,34,cusum,1,70.217
2017-04-10,Cosmetics,24,cusum,1,69.377
2017-04-17,Cosmetics,34,cusum,1,68.786
2017-04-24,Cosmetics,8,cusum,1,67.547
2017-05-01,Cosmetics,5,cusum,1,66.233
2017-05-08,Cosmetics,13,cusum,1,65.119
2017-03-06,Cosmetics,68,cusum,1,63.96
2017-03-13,Cosmetics,50,cusum,1,63.768
2017-05-22,Cosmetics,1,cusum,1,63.705
2017-02-27,Cosmetics,113,cusum,1,63.704
2017-05-29,Cosmetics,2,cusum,1,62.317
2017-06-05,Cosmetics,2,cusum,1,60.928
2017-02-13,Cosmetics,107,cusum,1,59.903
2017-06-12,Cosmetics,4,cusum,1,59.59
2017-02-06,Cosmetics,86,cusum,1,58.675
2017-06-26,Cosmetics,12,cusum,1,58.45
2017-01-30,Cosmetics,137,cusum,1,57.97
2016-12-26,Cosmetics,96,cusum,1,57.114
2017-01-02,Cosmetics,39,cusum,1,56.647
2017-01-09,Cosmetics,42,cusum,1,56.255
2016-12-19,Cosmetics,168,cusum,1,56.16
2017-01-23,Cosmetics,62,cusum,1,55.995
2017-01-16,Cosmetics,43,cusum,1,55.889
2016-12-12,Cosmetics,88,cusum,1,53.412
2016-11-28,Cosmetics,178,cusum,1,50.284
2016-11-14,Cosmetics,130,cusum,1,48.576
2016-11-21,Cosmetics,6,cusum,1,47.287
2016-11-07,Cosmetics,182,cusum,1,46.775
2016-10-31,Cosmetics,65,cusum,1,43.678
2016-10-24,Cosmetics,99,cusum,1,43.497
2016-10-17,Cosmetics,128,cusum,1,42.468
2004-06-21,Cosmetics,73,zscore,1,41.041
2016-10-10,Cosmetics,130,cusum,1,40.717
2009-03-16,Bakery Prod/Dough/Mix/Icing,20,cusum,1,39.81
2009-04-27,Bakery Prod/Dough/Mix/Icing,14,cusum,1,39.756
2009-05-04,Bakery Prod/Dough/Mix/Icing,8,cusum,1,39.5
2009-03-23,Bakery Prod/Dough/Mix/Icing,6,cusum,1,39.183
2009-04-06,Bakery Prod/Dough/Mix/Icing,11,cusum,1,39.041
2009-04-13,Bakery Prod/Dough/Mix/Icing,9,cusum,1,38.97
2016-10-03,Cosmetics,373,cusum,1,38.916
2009-04-20,Bakery Prod/Dough/Mix/Icing,9,cusum,1,38.899
2009-03-30,Bakery Prod/Dough/Mix/Icing,7,cusum,1,38.741
2009-05-11,Bakery Prod/Dough/Mix/Icing,5,cusum,1,38.687
2009-05-18,Bakery Prod/Dough/Mix/Icing,7,cusum,1,38.245
2013-09-30,Milk/Butter/Dried Milk Prod,39,cusum,1,38.241
2009-03-09,Bakery Prod/Dough/Mix/Icing,9,cusum,1,37.84
2007-09-17,Nuts/Edible Seed,9,cusum,1,37.786
2013-10-14,Milk/Butter/Dried Milk Prod,16,cusum,1,37.585
2013-10-21,Milk/Butter/Dried Milk Prod,10,cusum,1,37.438
2017-04-24,Vegetables/Vegetable Products,1,cusum,1,37.142
2013-10-07,Milk/Butter/Dried Milk Prod,1,cusum,1,37.005
2013-11-04,Milk/Butter/Dried Milk Prod,9,cusum,1,36.782
2009-05-25,Bakery Prod/Dough/Mix/Icing,1,cusum,1,36.69
2015-11-09,Cereal Prep/Breakfast Food,11,cusum,1,36.55
2015-11-16,Cereal Prep/Breakfast Food,8,cusum,1,36.506
2015-10-26,Cereal Prep/Breakfast Food,3,cusum,1,36.453
2007-09-24,Nuts/Edible Seed,1,cusum,1,36.297
2013-11-11,Milk/Butter/Dried Milk Prod,6,cusum,1,36.152
2009-02-23,Bakery Prod/Dough/Mix/Icing,24,cusum,1,36.126
2009-06-01,Bakery Prod/Dough/Mix/Icing,6,cusum,1,36.062
2015-11-02,Cereal Prep/Breakfast Food,6,cusum,1,36.042
2017-05-01,Vegetables/Vegetable Products,3,cusum,1,35.946
2009-06-08,Bakery Prod/Dough/Mix/Icing,8,cusum,1,35.806
2013-11-18,Milk/Butter/Dried Milk Prod,5,cusum,1,35.4
2009-07-06,Bakery Prod/Dough/Mix/Icing,8,cusum,1,35.337
2015-11-23,Cereal Prep/Breakfast Food,1,cusum,1,35.176
2007-10-08,Nuts/Edible Seed,3,cusum,1,35.008
2009-06-15,Bakery Prod/Dough/Mix/Icing,4,cusum,1,34.807
2017-05-15,Vegetables/Vegetable Products,3,cusum,1,34.751
2009-07-13,Bakery Prod/Dough/Mix/Icing,6,cusum,1,34.709
2009-08-03,Bakery Prod/Dough/Mix/Icing,10,cusum,1,34.311
2013-11-25,Milk/Butter/Dried Milk Prod,2,cusum,1,34.285
2009-07-20,Bakery Prod/Dough/Mix/Icing,7,cusum,1,34.267
2009-07-27,Bakery Prod/Dough/Mix/Icing,9,cusum,1,34.197
2015-10-12,Cereal Prep/Breakfast Food,46,cusum,1,34.151
2009-06-22,Bakery Prod/Dough/Mix/Icing,5,cusum,1,33.994
2013-12-09,Milk/Butter/Dried Milk Prod,15,cusum,1,33.872
2015-11-30,Cereal Prep/Breakfast Food,1,cusum,1,33.846
2015-01-26,Cosmetics,189,zscore,1,33.841
2015-12-07,Cereal Prep/Breakfast Food,7,cusum,1,33.618
2007-10-15,Nuts/Edible Seed,1,cusum,1,33.52
2009-02-16,Bakery Prod/Dough/Mix/Icing,24,cusum,1,33.414
2013-12-02,Milk/Butter/Dried Milk Prod,4,cusum,1,33.413
2017-06-05,Vegetables/Vegetable Products,1,cusum,1,33.373
2009-08-10,Bakery Prod/Dough/Mix/Icing,4,cusum,1,33.313
2013-12-16,Milk/Butter/Dried Milk Prod,5,cusum,1,33.12
2015-12-21,Cereal Prep/Breakfast Food,1,cusum,1,32.288
2007-10-22,Nuts/Edible Seed,2,cusum,1,32.131
2009-08-24,Bakery Prod/Dough/Mix/Icing,4,cusum,1,32.058
